"id","name","rtl","position"
"1","English","0","12"
"2","Português (Portuguese)","0","36"
"3","Русский (Russian)","0","54"
"4","हिन्दी‎ (Hindi)","0","63"
"5","日本語 (Japanese)","0","79"
"6","Español (Spanish)","0","13"
"7","(Arabic) العَرَبِيَّة‎","1","85"
"8","(Farsi) فارسی","1","86"
"9","հայերէն (Armenian)","0","60"
"10","Bahasa Indonesia (Indonesian)","0","2"
"11","Français (French)","0","17"
"12","Hausa","0","19"
"13","(Hebrew) עברית‎","1","84"
"14","Deutsch (German)","0","10"
"15","简化字 (Chinese Simplified)","0","80"
"16","မြန်မာဘာသာ (Burmese)","0","74"
"17","isiXhosa (Xhosa)","0","22"
"18","Magyar (Hungarian)","0","29"
"19","Kreyòl Ayisyen (Haitian Creole)","0","26"
"20","Igbo","0","20"
"21","Čeština (Czech)","0","6"
"22","isiNdebele (Ndebele)","0","21"
"23","Tiếng Việt (Vietnamese)","0","44"
"24","नेपाली (Nepali)","0","61"
"25","Нохчийн (Chechen)","0","53"
"26","Soomaali (Somali)","0","40"
"27","Türkçe (Turkish)","0","45"
"28","አማርኛ (Amharic)","0","77"
"29","Polski (Polish)","0","35"
"30","Malagasy","0","30"
"31","Română (Romanian)","0","38"
"32","Italiano (Italian)","0","23"
"33","Kiswahili (Swahili)","0","25"
"34","(Urdu) اردو","1","89"
"35","മലയാളം (Malayalam)","0","70"
"36","Kurmancî (Kurdish, Kurmanji)","0","27"
"37","O‘zbek (Uzbek)","0","33"
"38","Azərbaycanca (Azerbaijani)","0","1"
"39","(Kurdish, Sorani) کوردی","1","87"
"40","Bambara","0","3"
"41","正體字 (Chinese Traditional)","0","81"
"42","ភាសាខ្មែរ (Khmer)","0","78"
"43","한국어 (Korean)","0","83"
"44","Aymara aru (Aymara)","0","0"
"45","Bosanski (Bosnian)","0","4"
"46","Català (Catalan)","0","5"
"47","বাংলা (Bangla)","0","64"
"48","Беларуская мова (Belarusian)","0","49"
"49","chiShona (Shona)","0","7"
"50","Qirim (Crimean Tatar)","0","37"
"51","Shqip (Albanian)","0","39"
"52","தமிழ் (Tamil)","0","67"
"53","ქართული‎ (Georgian)","0","75"
"54","Srpski (Serbian)","0","41"
"55","བོད་ཡིག (Tibetan)","0","73"
"56","Oromoo (Oromo)","0","34"
"57","Ўзбекча (Uzbek, Cyrillic)","0","58"
"58","ትግርኛ (Tigrinya)","0","76"
"59","Татарча (Tatar)","0","55"
"60","Тоҷикӣ (Tajik)","0","57"
"61","Українська (Ukrainian)","0","56"
"62","Türkmen (Turkmen)","0","46"
"63","(Pashto) پښتو","1","88"
"64","Кыргызча (Kyrgyz)","0","51"
"65","Kinyarwanda","0","24"
"66","Македонски (Macedonian)","0","52"
"67","(Uyghur) ئۇيغۇرچە","1","90"
"68","ລາວ (Lao)","0","72"
"69","ไทย (Thai)","0","71"
"70","Қазақша (Kazakh)","0","59"
"71","Ελληνικά (Greek)","0","48"
"72","Esperanto","0","14"
"73","Nederlands (Dutch)","0","31"
"74","Filipino","0","16"
"75","Dansk (Danish)","0","9"
"76","Yorùbá (Yoruba)","0","47"
"77","ᱥᱟᱱᱛᱟᱤ (Santali)","0","82"
"78","ਪੰਜਾਬੀ (Punjabi)","0","65"
"79","български (Bulgarian)","0","50"
"80","Svenska (Swedish)","0","42"
"81","ଓଡ଼ିଆ (Odia)","0","66"
"82","Tetun (Tetum)","0","43"
"83","Galego (Galician)","0","18"
"84","मराठी (Marathi)","0","62"
"85","Norsk (Norwegian)","0","32"
"86","తెలుగు (Telugu)","0","69"
"87","Euskara (Basque)","0","15"
"90","Lingála (Lingala)","0","28"
"91","Eesti (Estonian)","0","11"
"92","ಕನ್ನಡ (Kannada)","0","68"
"93","Cymraeg (Welsh)","0","8"
